"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2007",105,334.5,285,325.5,111,93,16,10,15,230.5,275,376
"2008",189.5,111,460.5,252.5,59.5,14.5,0,29.5,22,265.5,504.5,375
"2009",290.5,399.5,280,234,193,41.5,5,0,90,252.5,193,187
"2010",413.5,510.5,453,260,232.5,175.5,134,256,370,256.5,372.5,447
"2011",174.744441878,213.811985661,354.426832442,288.746493766,269.609576766,69.575887207,52.498671386,0.098184441,1.460929191,195.445295103,324.076240971,311.048911868
"2012",203.5,397.5,285,268,119,15.5,5,0,31,245,467,334
"2013",534,367,312,486,410,169,104.5,17,39,143,157,533
"2014",430.5,316,503,515,296,147,103,90,0,46,408,499
"2015",254,357,342,309,134,0,8,0,0,60,351.5,541
"2016",223,227.5,402,463,217,256.5,149,135,305.5,283.5,438.5,242.5
"2017",246,362.5,266,298.5,95,0,12,0,47.5,189,430.5,179
"2018",181,373,243,217,74,33,8,18,4,94,325,192
"2019",342.762835625,378.971429023,329.089816525,319.010361794,79.855536378,9.534686598,12.33410485,26.68157157,7.386466319,142.918894113,106.750410649,429.668398827
"2020",182,293,284,309,204,59,19,69.01,16.03,225,138,375.5
"2021",310.5,216,386,121.5,113,158,53,44,74,118,536.5,367
"2022",252.5,226.5,362.5,513,260.5,132.5,162,75,225.5,453.5,321.5,313.5
