Date,sta_cibeureum,sta_cipaku,sta_rancaekek,sta_ciherang,sta_dago_pakar
1-Jan-06,5.5,6.0,11.0,7.0,0.0
2-Jan-06,0.0,7.0,0.0,9.0,0.0
3-Jan-06,0.0,0.0,0.0,4.0,3.0
4-Jan-06,8.4,6.0,4.0,14.0,0.0
5-Jan-06,16.0,2.0,0.0,82.0,2.0
6-Jan-06,0.0,12.0,12.0,9.0,1.0
7-Jan-06,0.0,18.0,37.0,8.0,5.0
8-Jan-06,15.3,10.0,7.0,42.0,30.0
9-Jan-06,8.7,16.0,23.0,9.0,10.0
10-Jan-06,4.3,6.0,0.0,11.0,50.0
11-Jan-06,10.5,1.0,3.0,13.0,8.0
12-Jan-06,9.4,18.0,6.0,25.0,32.0
13-Jan-06,0.0,0.0,0.0,1.0,8.0
14-Jan-06,0.0,7.0,3.0,4.0,20.0
15-Jan-06,12.1,1.0,9.0,9.0,0.0
16-Jan-06,0.0,6.0,0.0,0.0,0.0
17-Jan-06,0.0,15.0,4.0,2.0,6.0
18-Jan-06,11.0,2.0,0.0,0.0,0.0
19-Jan-06,25.0,0.0,0.0,0.0,0.0
20-Jan-06,17.5,0.0,0.0,1.0,0.0
21-Jan-06,0.0,0.0,0.0,0.0,2.0
22-Jan-06,31.2,0.0,0.0,14.0,5.0
23-Jan-06,20.4,19.0,19.0,61.0,21.0
24-Jan-06,0.0,10.0,3.0,0.0,0.0
25-Jan-06,31.1,1.0,4.0,0.0,0.0
26-Jan-06,25.0,0.0,0.0,41.0,0.0
27-Jan-06,16.0,0.0,0.0,30.0,0.0
28-Jan-06,20.4,5.0,4.0,39.0,18.0
29-Jan-06,0.0,0.0,0.0,3.0,2.0
30-Jan-06,13.0,2.0,0.0,19.0,5.0
31-Jan-06,17.9,0.0,1.0,5.0,0.0
1-Feb-06,0.0,23.0,0.0,0.0,0.0
2-Feb-06,35.1,0.0,3.0,0.0,0.0
3-Feb-06,25.0,3.0,0.0,0.0,0.0
4-Feb-06,0.0,2.0,0.0,0.0,0.0
5-Feb-06,0.0,0.0,2.0,1.0,0.0
6-Feb-06,0.0,15.0,4.0,3.0,9.0
7-Feb-06,17.3,24.0,3.0,0.0,1.0
8-Feb-06,10.4,0.0,21.0,14.0,0.0
9-Feb-06,12.3,13.0,9.0,9.0,38.0
10-Feb-06,0.0,7.0,15.0,43.0,4.0
11-Feb-06,0.0,15.0,40.0,15.0,7.0
12-Feb-06,9.3,41.0,34.0,0.0,8.0
13-Feb-06,8.0,5.0,0.0,1.0,4.0
14-Feb-06,20.0,4.0,0.0,0.0,0.0
15-Feb-06,25.3,0.0,2.0,4.0,2.0
16-Feb-06,12.4,6.0,37.0,11.0,17.0
