Date,Cipanas-Margamukti,Dago-Bengkok,Paseh,Cicalengka,Ciparay,Ujung Berung,Cisondari
01-Jan-07,2,0,3,1,2,2,3
02-Jan-07,5,0,2,0,0,2,2
03-Jan-07,0,0,0,0,0,0,0
04-Jan-07,0,0,0,0,0,0,0
05-Jan-07,0,0,0,0,0,0,0
06-Jan-07,0,0,0,0,0,0,0
07-Jan-07,0,0,0,0,0,0,0
08-Jan-07,0,0,0,0,0,0,0
09-Jan-07,0,0,0,0,0,0,0
10-Jan-07,0,0,0,8,0,0,0
11-Jan-07,0,0,0,0,0,0,0
12-Jan-07,0,0,0,0,0,0,0
13-Jan-07,0,0,0,0,0,0,0
14-Jan-07,0,16,0,0,0,0,0
15-Jan-07,0,0,0,0,0,7,22
16-Jan-07,0,0,0,0,0,0,0
17-Jan-07,0,0,8,14,20,0,0
18-Jan-07,0,0,83,18,58,17,0
19-Jan-07,0,0,0,4,9,10,0
20-Jan-07,0,0,1,13,0,19,27
21-Jan-07,6,0,3,0,24,3,0
22-Jan-07,12,16,8,0,15,14,5
23-Jan-07,10,6,10,0,15,25,18
24-Jan-07,10,0,12,18,1,26,2
25-Jan-07,3,27,4,4,11,0,7
26-Jan-07,0,9,10,41,1,15,7
27-Jan-07,3,14,17,5,9,0,10
28-Jan-07,0,13,4,47,0,8,5
29-Jan-07,48,8,4,15,9,19,0
30-Jan-07,0,2,19,109,4,26,26
31-Jan-07,6,14,7,10,1,24,6
01-Feb-07,4,8,73,14,2,25,3
02-Feb-07,6.5,4,9,35,37,23,7
03-Feb-07,0,1,11,4,6,18,14
04-Feb-07,32,40,10,61,13,12,8
05-Feb-07,10,5,18,27,0,17,28
06-Feb-07,0,0,2,6,5,29,4
07-Feb-07,0,0,3,3,0,0,3
08-Feb-07,0,0,1,1,0,0,28
09-Feb-07,0,0,0,0,1,0,2
10-Feb-07,0,0,2,5,0,0,2
11-Feb-07,3,2,0,1,3,0,0
12-Feb-07,8,35,66,15,55,20,1
13-Feb-07,9,47,60,11,2,29,19
14-Feb-07,0,6,28,1,0,0,24
15-Feb-07,13,21,2,0,33,0,7
16-Feb-07,53,15,26,7,3,24,3
17-Feb-07,22,3,46,5,2,4,7
18-Feb-07,25,15,57,1,0,5,8
19-Feb-07,14.5,27,13,6,54,18,2
20-Feb-07,44,53,33,67,30,53,25
21-Feb-07,0,12,43,41,0,82,45
22-Feb-07,24.5,11,7,1,2,0,7
23-Feb-07,2,17,5,11,2,7,7
24-Feb-07,0,0,7,9,0,18,16
25-Feb-07,53.5,16,0,0,9,0,0
26-Feb-07,0,15,12,34,5,8,2
27-Feb-07,10.5,7,0,2,0,3,3
28-Feb-07,0,0,5,11,6,18,5
01-Mar-07,0,2,3,0,0,0,0
02-Mar-07,18.5,7,1,0,4,0,0
03-Mar-07,0,0,14,6,0,5,2
04-Mar-07,3,0,1,0,0,0,2
05-Mar-07,0,5,0,2,0,0,0
06-Mar-07,23,0,5,1,0,3,0
07-Mar-07,0,9,7,2,17,1,4
