"","date","value","station"
"1",2001-01-01,16.9,"Dayeuh Kolot"
"2",2001-01-02,15.9,"Dayeuh Kolot"
"3",2001-01-03,15.9,"Dayeuh Kolot"
"4",2001-01-04,19.9,"Dayeuh Kolot"
"5",2001-01-05,24.4,"Dayeuh Kolot"
"6",2001-01-06,27.6,"Dayeuh Kolot"
"7",2001-01-07,27.6,"Dayeuh Kolot"
"8",2001-01-08,24.3,"Dayeuh Kolot"
"9",2001-01-09,19.7,"Dayeuh Kolot"
"10",2001-01-10,18.5,"Dayeuh Kolot"
"11",2001-01-11,16.6,"Dayeuh Kolot"
"12",2001-01-12,15.1,"Dayeuh Kolot"
"13",2001-01-13,13.6,"Dayeuh Kolot"
"14",2001-01-14,12.3,"Dayeuh Kolot"
"15",2001-01-15,16.9,"Dayeuh Kolot"
"16",2001-01-16,25.6,"Dayeuh Kolot"
"17",2001-01-17,23.6,"Dayeuh Kolot"
"18",2001-01-18,20.5,"Dayeuh Kolot"
"19",2001-01-19,19.3,"Dayeuh Kolot"
"20",2001-01-20,16.9,"Dayeuh Kolot"
"21",2001-01-21,15.3,"Dayeuh Kolot"
"22",2001-01-22,14,"Dayeuh Kolot"
"23",2001-01-23,12.6,"Dayeuh Kolot"
"24",2001-01-24,11.7,"Dayeuh Kolot"
"25",2001-01-25,16.5,"Dayeuh Kolot"
"26",2001-01-26,22.3,"Dayeuh Kolot"
"27",2001-01-27,24.1,"Dayeuh Kolot"
"28",2001-01-28,26.7,"Dayeuh Kolot"
"29",2001-01-29,28,"Dayeuh Kolot"
"30",2001-01-30,28.3,"Dayeuh Kolot"
"31",2001-01-31,29.1,"Dayeuh Kolot"
"32",2001-02-01,28.5,"Dayeuh Kolot"
"33",2001-02-02,28.1,"Dayeuh Kolot"
"34",2001-02-03,27.8,"Dayeuh Kolot"
"35",2001-02-04,26.3,"Dayeuh Kolot"
"36",2001-02-05,24.6,"Dayeuh Kolot"
"37",2001-02-06,31.3,"Dayeuh Kolot"
"38",2001-02-07,30.2,"Dayeuh Kolot"
"39",2001-02-08,27.8,"Dayeuh Kolot"
"40",2001-02-09,25.8,"Dayeuh Kolot"
"41",2001-02-10,25,"Dayeuh Kolot"
"42",2001-02-11,20.8,"Dayeuh Kolot"
"43",2001-02-12,18.7,"Dayeuh Kolot"
"44",2001-02-13,17.5,"Dayeuh Kolot"
"45",2001-02-14,16.3,"Dayeuh Kolot"
"46",2001-02-15,15.5,"Dayeuh Kolot"
"47",2001-02-16,13.2,"Dayeuh Kolot"
"48",2001-02-17,12.5,"Dayeuh Kolot"
"49",2001-02-18,12.1,"Dayeuh Kolot"
"50",2001-02-19,10.7,"Dayeuh Kolot"
"51",2001-02-20,11.2,"Dayeuh Kolot"
"52",2001-02-21,19.7,"Dayeuh Kolot"
"53",2001-02-22,26.9,"Dayeuh Kolot"
"54",2001-02-23,38.5,"Dayeuh Kolot"
"55",2001-02-24,48.8,"Dayeuh Kolot"
"56",2001-02-25,48.6,"Dayeuh Kolot"
"57",2001-02-26,44.4,"Dayeuh Kolot"
"58",2001-02-27,36.7,"Dayeuh Kolot"
"59",2001-02-28,31.1,"Dayeuh Kolot"
"60",2001-03-01,15.2,"Dayeuh Kolot"
"61",2001-03-02,14.4,"Dayeuh Kolot"
"62",2001-03-03,15.9,"Dayeuh Kolot"
"63",2001-03-04,14.5,"Dayeuh Kolot"
"64",2001-03-05,13.5,"Dayeuh Kolot"
"65",2001-03-06,15.1,"Dayeuh Kolot"
"66",2001-03-07,15.9,"Dayeuh Kolot"
"67",2001-03-08,18.5,"Dayeuh Kolot"
"68",2001-03-09,17.9,"Dayeuh Kolot"
"69",2001-03-10,17,"Dayeuh Kolot"
"70",2001-03-11,18.1,"Dayeuh Kolot"
"71",2001-03-12,23.3,"Dayeuh Kolot"
"72",2001-03-13,21.8,"Dayeuh Kolot"
"73",2001-03-14,30.2,"Dayeuh Kolot"
"74",2001-03-15,32.1,"Dayeuh Kolot"
"75",2001-03-16,37.7,"Dayeuh Kolot"
"76",2001-03-17,36.7,"Dayeuh Kolot"
"77",2001-03-18,38.5,"Dayeuh Kolot"
"78",2001-03-19,37.9,"Dayeuh Kolot"
"79",2001-03-20,32.5,"Dayeuh Kolot"
"80",2001-03-21,29.1,"Dayeuh Kolot"
"81",2001-03-22,28.3,"Dayeuh Kolot"
"82",2001-03-23,32.3,"Dayeuh Kolot"
"83",2001-03-24,34.6,"Dayeuh Kolot"
"84",2001-03-25,51.4,"Dayeuh Kolot"
"85",2001-03-26,58.4,"Dayeuh Kolot"
"86",2001-03-27,73.7,"Dayeuh Kolot"
"87",2001-03-28,60.7,"Dayeuh Kolot"
"88",2001-03-29,55.8,"Dayeuh Kolot"
"89",2001-03-30,50.2,"Dayeuh Kolot"
"90",2001-03-31,45.8,"Dayeuh Kolot"
"91",2001-04-01,45.1,"Dayeuh Kolot"
"92",2001-04-02,49,"Dayeuh Kolot"
"93",2001-04-03,45.8,"Dayeuh Kolot"
"94",2001-04-04,49.5,"Dayeuh Kolot"
"95",2001-04-05,54.6,"Dayeuh Kolot"
"96",2001-04-06,66.8,"Dayeuh Kolot"
"97",2001-04-07,74,"Dayeuh Kolot"
"98",2001-04-08,59.6,"Dayeuh Kolot"
"99",2001-04-09,54.6,"Dayeuh Kolot"
"100",2001-04-10,48.3,"Dayeuh Kolot"
"101",2001-04-11,64.1,"Dayeuh Kolot"
"102",2001-04-12,67.1,"Dayeuh Kolot"
"103",2001-04-13,64.1,"Dayeuh Kolot"
"104",2001-04-14,70.1,"Dayeuh Kolot"
"105",2001-04-15,76,"Dayeuh Kolot"
"106",2001-04-16,71.2,"Dayeuh Kolot"
"107",2001-04-17,66.8,"Dayeuh Kolot"
"108",2001-04-18,61.7,"Dayeuh Kolot"
"109",2001-04-19,46,"Dayeuh Kolot"
"110",2001-04-20,42.9,"Dayeuh Kolot"
"111",2001-04-21,34,"Dayeuh Kolot"
"112",2001-04-22,30,"Dayeuh Kolot"
"113",2001-04-23,34.4,"Dayeuh Kolot"
"114",2001-04-24,42.4,"Dayeuh Kolot"
"115",2001-04-25,52.1,"Dayeuh Kolot"
"116",2001-04-26,62.5,"Dayeuh Kolot"
"117",2001-04-27,53.4,"Dayeuh Kolot"
"118",2001-04-28,40.3,"Dayeuh Kolot"
"119",2001-04-29,40,"Dayeuh Kolot"
"120",2001-04-30,37.1,"Dayeuh Kolot"
"121",2001-05-01,22.1,"Dayeuh Kolot"
"122",2001-05-02,23.9,"Dayeuh Kolot"
"123",2001-05-03,73.7,"Dayeuh Kolot"
"124",2001-05-04,40,"Dayeuh Kolot"
"125",2001-05-05,44.2,"Dayeuh Kolot"
"126",2001-05-06,34.6,"Dayeuh Kolot"
"127",2001-05-07,26.7,"Dayeuh Kolot"
"128",2001-05-08,22.1,"Dayeuh Kolot"
"129",2001-05-09,18.1,"Dayeuh Kolot"
"130",2001-05-10,28.5,"Dayeuh Kolot"
"131",2001-05-11,26,"Dayeuh Kolot"
"132",2001-05-12,21.9,"Dayeuh Kolot"
"133",2001-05-13,21.1,"Dayeuh Kolot"
"134",2001-05-14,28.5,"Dayeuh Kolot"
"135",2001-05-15,26.2,"Dayeuh Kolot"
"136",2001-05-16,21.6,"Dayeuh Kolot"
"137",2001-05-17,25.8,"Dayeuh Kolot"
"138",2001-05-18,24.6,"Dayeuh Kolot"
"139",2001-05-19,22.9,"Dayeuh Kolot"
"140",2001-05-20,27.1,"Dayeuh Kolot"
"141",2001-05-21,20.5,"Dayeuh Kolot"
"142",2001-05-22,93.3,"Dayeuh Kolot"
"143",2001-05-23,65.4,"Dayeuh Kolot"
"144",2001-05-24,57.1,"Dayeuh Kolot"
"145",2001-05-25,53.8,"Dayeuh Kolot"
"146",2001-05-26,46.9,"Dayeuh Kolot"
"147",2001-05-27,44.4,"Dayeuh Kolot"
"148",2001-05-28,43.1,"Dayeuh Kolot"
"149",2001-05-29,36.5,"Dayeuh Kolot"
"150",2001-05-30,23.6,"Dayeuh Kolot"
"151",2001-05-31,21.6,"Dayeuh Kolot"
"152",2001-06-01,26.7,"Dayeuh Kolot"
"153",2001-06-02,25.6,"Dayeuh Kolot"
"154",2001-06-03,23.9,"Dayeuh Kolot"
"155",2001-06-04,25.3,"Dayeuh Kolot"
"156",2001-06-05,27.2,"Dayeuh Kolot"
"157",2001-06-06,29.2,"Dayeuh Kolot"
"158",2001-06-07,25.3,"Dayeuh Kolot"
"159",2001-06-08,32.1,"Dayeuh Kolot"
"160",2001-06-09,33.1,"Dayeuh Kolot"
"161",2001-06-10,58.6,"Dayeuh Kolot"
"162",2001-06-11,52.9,"Dayeuh Kolot"
"163",2001-06-12,33.5,"Dayeuh Kolot"
"164",2001-06-13,47.9,"Dayeuh Kolot"
"165",2001-06-14,37.5,"Dayeuh Kolot"
"166",2001-06-15,33.3,"Dayeuh Kolot"
"167",2001-06-16,28.7,"Dayeuh Kolot"
"168",2001-06-17,23.4,"Dayeuh Kolot"
"169",2001-06-18,24.3,"Dayeuh Kolot"
"170",2001-06-19,20.7,"Dayeuh Kolot"
"171",2001-06-20,19,"Dayeuh Kolot"
"172",2001-06-21,17.3,"Dayeuh Kolot"
"173",2001-06-22,15.9,"Dayeuh Kolot"
"174",2001-06-23,16.2,"Dayeuh Kolot"
"175",2001-06-24,16.5,"Dayeuh Kolot"
"176",2001-06-25,17.3,"Dayeuh Kolot"
"177",2001-06-26,16.3,"Dayeuh Kolot"
"178",2001-06-27,15.8,"Dayeuh Kolot"
"179",2001-06-28,15.9,"Dayeuh Kolot"
"180",2001-06-29,15.1,"Dayeuh Kolot"
"181",2001-06-30,13.2,"Dayeuh Kolot"
"182",2001-07-01,25.1,"Dayeuh Kolot"
"183",2001-07-02,20.8,"Dayeuh Kolot"
"184",2001-07-03,21.3,"Dayeuh Kolot"
"185",2001-07-04,15.9,"Dayeuh Kolot"
"186",2001-07-05,15.8,"Dayeuh Kolot"
"187",2001-07-06,15.5,"Dayeuh Kolot"
"188",2001-07-07,16.6,"Dayeuh Kolot"
"189",2001-07-08,14.9,"Dayeuh Kolot"
"190",2001-07-09,14.8,"Dayeuh Kolot"
"191",2001-07-10,15.8,"Dayeuh Kolot"
"192",2001-07-11,17.5,"Dayeuh Kolot"
"193",2001-07-12,19,"Dayeuh Kolot"
"194",2001-07-13,16.6,"Dayeuh Kolot"
"195",2001-07-14,16.6,"Dayeuh Kolot"
"196",2001-07-15,15.5,"Dayeuh Kolot"
"197",2001-07-16,15.8,"Dayeuh Kolot"
"198",2001-07-17,18.5,"Dayeuh Kolot"
"199",2001-07-18,19.9,"Dayeuh Kolot"
"200",2001-07-19,24.4,"Dayeuh Kolot"
"201",2001-07-20,21.3,"Dayeuh Kolot"
"202",2001-07-21,20.2,"Dayeuh Kolot"
"203",2001-07-22,19.3,"Dayeuh Kolot"
"204",2001-07-23,25.1,"Dayeuh Kolot"
"205",2001-07-24,21.3,"Dayeuh Kolot"
"206",2001-07-25,22.6,"Dayeuh Kolot"
"207",2001-07-26,20.4,"Dayeuh Kolot"
"208",2001-07-27,20.8,"Dayeuh Kolot"
"209",2001-07-28,22.1,"Dayeuh Kolot"
"210",2001-07-29,20.4,"Dayeuh Kolot"
"211",2001-07-30,19.1,"Dayeuh Kolot"
"212",2001-07-31,19.7,"Dayeuh Kolot"
"213",2001-08-01,26,"Dayeuh Kolot"
"214",2001-08-02,23.8,"Dayeuh Kolot"
"215",2001-08-03,24.6,"Dayeuh Kolot"
"216",2001-08-04,51.4,"Dayeuh Kolot"
"217",2001-08-05,43.1,"Dayeuh Kolot"
"218",2001-08-06,35.5,"Dayeuh Kolot"
"219",2001-08-07,31.5,"Dayeuh Kolot"
"220",2001-08-08,30,"Dayeuh Kolot"
"221",2001-08-09,28.7,"Dayeuh Kolot"
"222",2001-08-10,51.4,"Dayeuh Kolot"
"223",2001-08-11,43.3,"Dayeuh Kolot"
"224",2001-08-12,37.1,"Dayeuh Kolot"
"225",2001-08-13,31.7,"Dayeuh Kolot"
"226",2001-08-14,33.6,"Dayeuh Kolot"
"227",2001-08-15,30.6,"Dayeuh Kolot"
"228",2001-08-16,28.1,"Dayeuh Kolot"
"229",2001-08-17,26.3,"Dayeuh Kolot"
"230",2001-08-18,26,"Dayeuh Kolot"
"231",2001-08-19,25.3,"Dayeuh Kolot"
"232",2001-08-20,26.3,"Dayeuh Kolot"
"233",2001-08-21,23.9,"Dayeuh Kolot"
"234",2001-08-22,24.3,"Dayeuh Kolot"
"235",2001-08-23,24.3,"Dayeuh Kolot"
"236",2001-08-24,24.1,"Dayeuh Kolot"
"237",2001-08-25,24.1,"Dayeuh Kolot"
"238",2001-08-26,30.4,"Dayeuh Kolot"
"239",2001-08-27,23.8,"Dayeuh Kolot"
"240",2001-08-28,23.9,"Dayeuh Kolot"
"241",2001-08-29,22.6,"Dayeuh Kolot"
"242",2001-08-30,17.8,"Dayeuh Kolot"
"243",2001-08-31,16.2,"Dayeuh Kolot"
"244",2001-09-01,30.4,"Dayeuh Kolot"
"245",2001-09-02,27.2,"Dayeuh Kolot"
"246",2001-09-03,53.8,"Dayeuh Kolot"
"247",2001-09-04,66.5,"Dayeuh Kolot"
"248",2001-09-05,39.6,"Dayeuh Kolot"
"249",2001-09-06,49.3,"Dayeuh Kolot"
"250",2001-09-07,41.1,"Dayeuh Kolot"
"251",2001-09-08,38.8,"Dayeuh Kolot"
"252",2001-09-09,29.1,"Dayeuh Kolot"
"253",2001-09-10,37.9,"Dayeuh Kolot"
"254",2001-09-11,27.8,"Dayeuh Kolot"
"255",2001-09-12,27.8,"Dayeuh Kolot"
"256",2001-09-13,25.1,"Dayeuh Kolot"
"257",2001-09-14,25.3,"Dayeuh Kolot"
"258",2001-09-15,24.8,"Dayeuh Kolot"
"259",2001-09-16,25.1,"Dayeuh Kolot"
"260",2001-09-17,25.1,"Dayeuh Kolot"
"261",2001-09-18,25.5,"Dayeuh Kolot"
"262",2001-09-19,22.6,"Dayeuh Kolot"
"263",2001-09-20,26,"Dayeuh Kolot"
"264",2001-09-21,25.1,"Dayeuh Kolot"
"265",2001-09-22,25.6,"Dayeuh Kolot"
"266",2001-09-23,25.6,"Dayeuh Kolot"
"267",2001-09-24,25.1,"Dayeuh Kolot"
"268",2001-09-25,24.3,"Dayeuh Kolot"
"269",2001-09-26,23.9,"Dayeuh Kolot"
"270",2001-09-27,24.6,"Dayeuh Kolot"
"271",2001-09-28,26.7,"Dayeuh Kolot"
"272",2001-09-29,25.1,"Dayeuh Kolot"
"273",2001-09-30,26.9,"Dayeuh Kolot"
"274",2001-10-01,36.5,"Dayeuh Kolot"
"275",2001-10-02,65.7,"Dayeuh Kolot"
"276",2001-10-03,47.6,"Dayeuh Kolot"
"277",2001-10-04,45.3,"Dayeuh Kolot"
"278",2001-10-05,43.8,"Dayeuh Kolot"
"279",2001-10-06,57.1,"Dayeuh Kolot"
"280",2001-10-07,62.2,"Dayeuh Kolot"
