"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2007",140,280,168,365,53,163,16,7,70,238,406,323
"2008",140,79,411,295,132,24,0,60,87,183,420,301
"2009",144,275,225,163,305,106,29,33,57,222,318,150
"2010",286,356,502,142,347,120,87,189,358,228,338,358
"2011",79,73,226,250,230,65,116,3,1.5,43,441,212
"2012",226,325,144.5,362.5,212.5,10,0,11,48,50.5,357.5,404
"2013",294,265.5,240.5,292.5,337.5,106,172.5,7,66,57.5,111,319
"2014",172,74.5,406.5,167.5,93.5,106,55.5,18.5,0,20,283,288
"2015",131,148.5,207.5,112.5,110.5,0,0,0,0,6.5,249.5,243.5
"2016",192.5,174,355.5,497.5,310,151.5,192,75,314,336.5,297,88
"2017",108.5,309.5,193.5,245,170.5,2.5,32.5,0,0,0,155,212.5
"2018",78,232.5,212,195.5,230.5,16,1,51.5,141.5,205.5,285,131.5
"2019",259.5,336,220,195,175.5,32.5,3,10,10,67,112,309.5
"2020",189,332,406,256.5,153.8,29.5,33.5,33,69.5,140.5,235,174.5
"2021",243,220.5,322.5,63.5,99,169.5,43.5,100.5,55,225.5,370,209
"2022",189.5,206,308.5,253,163,145.5,52.5,43,135.5,399.5,285.5,258.5
