"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2007",125,360,118,415,94,119,4,0,0,0,421,0
"2008",203,51,226,191,53,4,0,6,12,170,256,245
"2009",176.410238909,206.16072001,362.313496521,177.14219228,213.969953342,101.993255438,24.741690668,0.921708416,30.109207852,131.571508919,295.191240274,217.899318862
"2010",140,304,306,62,304,157,171,192,517,409,393,413
"2011",35.768987059,55.143633456,79.057145337,293.069930017,146.637323711,78.16879574,33.535476573,0.856663478,88.985543311,69.998690733,255.863913644,223.151654023
"2012",114,303,102,180,156,28,2,17,6,42,370,210
"2013",122,282,323,295,75,212,146,15,30,162,156,318
"2014",245,63,170,178,135,70,199,0,0,57,227,399
"2015",230,223,282,274,103,0,3,1,7,52,136,137
"2016",187,229,252,402,277,26,13,34,189,268,229,61
"2017",185,343,389,0,40,0,107,62,100,473,476,111
"2018",199,310,400,150,59,47,0,40,13,177,423,144
"2019",191.051198655,359.288014458,189.61576467,268.064758345,112.135398545,11.897399112,7.709971302,1.883838902,3.028171119,61.238395513,224.375856792,277.261279794
"2020",149.05,232.01,270.01,252.01,177,77,14.01,9.02,44.01,283.02,102.02,173.07
"2021",91,81,169,37,104,76,21,55,38,177,367,131
"2022",35,80,119,259,153,126,62,22,118,238,229,191
