"","date","value","station"
"1",2001-01-01,4.83,"Majalaya"
"2",2001-01-02,4.99,"Majalaya"
"3",2001-01-03,5.44,"Majalaya"
"4",2001-01-04,6.79,"Majalaya"
"5",2001-01-05,7.06,"Majalaya"
"6",2001-01-06,7.95,"Majalaya"
"7",2001-01-07,7.74,"Majalaya"
"8",2001-01-08,7.26,"Majalaya"
"9",2001-01-09,8.16,"Majalaya"
"10",2001-01-10,7.95,"Majalaya"
"11",2001-01-11,7.6,"Majalaya"
"12",2001-01-12,6.53,"Majalaya"
"13",2001-01-13,6.34,"Majalaya"
"14",2001-01-14,6.28,"Majalaya"
"15",2001-01-15,5.73,"Majalaya"
"16",2001-01-16,5.33,"Majalaya"
"17",2001-01-17,5.91,"Majalaya"
"18",2001-01-18,5.79,"Majalaya"
"19",2001-01-19,5.79,"Majalaya"
"20",2001-01-20,6.47,"Majalaya"
"21",2001-01-21,6.47,"Majalaya"
"22",2001-01-22,6.53,"Majalaya"
"23",2001-01-23,6.47,"Majalaya"
"24",2001-01-24,6.86,"Majalaya"
"25",2001-01-25,9.05,"Majalaya"
"26",2001-01-26,7.12,"Majalaya"
"27",2001-01-27,7.26,"Majalaya"
"28",2001-01-28,8.02,"Majalaya"
"29",2001-01-29,7.81,"Majalaya"
"30",2001-01-30,7.81,"Majalaya"
"31",2001-01-31,7.6,"Majalaya"
"32",2001-02-01,8.02,"Majalaya"
"33",2001-02-02,9.13,"Majalaya"
"34",2001-02-03,8.16,"Majalaya"
"35",2001-02-04,8.24,"Majalaya"
"36",2001-02-05,9.05,"Majalaya"
"37",2001-02-06,10.2,"Majalaya"
"38",2001-02-07,9.83,"Majalaya"
"39",2001-02-08,10.2,"Majalaya"
"40",2001-02-09,14.5,"Majalaya"
"41",2001-02-10,7.26,"Majalaya"
"42",2001-02-11,8.24,"Majalaya"
"43",2001-02-12,8.83,"Majalaya"
"44",2001-02-13,8.45,"Majalaya"
"45",2001-02-14,7.46,"Majalaya"
"46",2001-02-15,7.12,"Majalaya"
"47",2001-02-16,7.06,"Majalaya"
"48",2001-02-17,7.06,"Majalaya"
"49",2001-02-18,7.06,"Majalaya"
"50",2001-02-19,7.06,"Majalaya"
"51",2001-02-20,7.06,"Majalaya"
"52",2001-02-21,6.73,"Majalaya"
"53",2001-02-22,7.06,"Majalaya"
"54",2001-02-23,6.86,"Majalaya"
"55",2001-02-24,6.66,"Majalaya"
"56",2001-02-25,7.67,"Majalaya"
"57",2001-02-26,7.67,"Majalaya"
"58",2001-02-27,6.99,"Majalaya"
"59",2001-02-28,7.46,"Majalaya"
"60",2001-03-01,7.95,"Majalaya"
"61",2001-03-02,7.32,"Majalaya"
"62",2001-03-03,7.6,"Majalaya"
"63",2001-03-04,7.46,"Majalaya"
"64",2001-03-05,7.46,"Majalaya"
"65",2001-03-06,7.67,"Majalaya"
"66",2001-03-07,7.32,"Majalaya"
"67",2001-03-08,7.53,"Majalaya"
"68",2001-03-09,7.19,"Majalaya"
"69",2001-03-10,6.92,"Majalaya"
"70",2001-03-11,6.86,"Majalaya"
"71",2001-03-12,6.86,"Majalaya"
"72",2001-03-13,7.39,"Majalaya"
"73",2001-03-14,6.99,"Majalaya"
"74",2001-03-15,6.92,"Majalaya"
"75",2001-03-16,6.92,"Majalaya"
"76",2001-03-17,7.74,"Majalaya"
"77",2001-03-18,8.02,"Majalaya"
"78",2001-03-19,8.53,"Majalaya"
"79",2001-03-20,8.16,"Majalaya"
"80",2001-03-21,7.95,"Majalaya"
"81",2001-03-22,7.74,"Majalaya"
"82",2001-03-23,7.88,"Majalaya"
"83",2001-03-24,9.99,"Majalaya"
"84",2001-03-25,8.02,"Majalaya"
"85",2001-03-26,13.5,"Majalaya"
"86",2001-03-27,14.5,"Majalaya"
"87",2001-03-28,11.4,"Majalaya"
"88",2001-03-29,14.4,"Majalaya"
"89",2001-03-30,16.5,"Majalaya"
"90",2001-03-31,19.7,"Majalaya"
"91",2001-04-01,7.67,"Majalaya"
"92",2001-04-02,7.39,"Majalaya"
"93",2001-04-03,8.9,"Majalaya"
"94",2001-04-04,19.7,"Majalaya"
"95",2001-04-05,12.7,"Majalaya"
"96",2001-04-06,14.7,"Majalaya"
"97",2001-04-07,8.68,"Majalaya"
"98",2001-04-08,8.02,"Majalaya"
"99",2001-04-09,7.32,"Majalaya"
"100",2001-04-10,6.86,"Majalaya"
"101",2001-04-11,7.32,"Majalaya"
"102",2001-04-12,17.8,"Majalaya"
"103",2001-04-13,16.3,"Majalaya"
"104",2001-04-14,17.3,"Majalaya"
"105",2001-04-15,11.5,"Majalaya"
"106",2001-04-16,8.53,"Majalaya"
"107",2001-04-17,7.26,"Majalaya"
"108",2001-04-18,6.73,"Majalaya"
"109",2001-04-19,6.73,"Majalaya"
