"","Date","Value","groups"
"1",2004-01-01,11.55,"Sapan"
"2",2004-01-02,13.8,"Sapan"
"3",2004-01-03,12.95,"Sapan"
"4",2004-01-04,11.3,"Sapan"
"5",2004-01-05,11.15,"Sapan"
"6",2004-01-06,17,"Sapan"
"7",2004-01-07,10.8,"Sapan"
"8",2004-01-08,9.85,"Sapan"
"9",2004-01-09,11.3,"Sapan"
"10",2004-01-10,29.45,"Sapan"
"11",2004-01-11,29.9,"Sapan"
"12",2004-01-12,27.85,"Sapan"
"13",2004-01-13,23.65,"Sapan"
"14",2004-01-14,28.5,"Sapan"
"15",2004-01-15,21.7,"Sapan"
"16",2004-01-16,21.9,"Sapan"
"17",2004-01-17,22.3,"Sapan"
"18",2004-01-18,22.65,"Sapan"
"19",2004-01-19,20.25,"Sapan"
"20",2004-01-20,18.3,"Sapan"
"21",2004-01-21,13.1,"Sapan"
"22",2004-01-22,25.7,"Sapan"
"23",2004-01-23,30.1,"Sapan"
"24",2004-01-24,44.7,"Sapan"
"25",2004-01-25,32.75,"Sapan"
"26",2004-01-26,71.7,"Sapan"
"27",2004-01-27,30.35,"Sapan"
"28",2004-01-28,48.7,"Sapan"
"29",2004-01-29,58.1,"Sapan"
"30",2004-01-30,43.25,"Sapan"
"31",2004-01-31,40.95,"Sapan"
"32",2004-02-01,59.5,"Sapan"
"33",2004-02-02,38.15,"Sapan"
"34",2004-02-03,34,"Sapan"
"35",2004-02-04,56.35,"Sapan"
"36",2004-02-05,35.8,"Sapan"
"37",2004-02-06,29.65,"Sapan"
"38",2004-02-07,24.25,"Sapan"
"39",2004-02-08,25.5,"Sapan"
"40",2004-02-09,21.5,"Sapan"
"41",2004-02-10,14.8,"Sapan"
"42",2004-02-11,12.55,"Sapan"
"43",2004-02-12,12.05,"Sapan"
"44",2004-02-13,12.45,"Sapan"
"45",2004-02-14,12.45,"Sapan"
"46",2004-02-15,11.65,"Sapan"
"47",2004-02-16,11.9,"Sapan"
"48",2004-02-17,16.8,"Sapan"
"49",2004-02-18,14.95,"Sapan"
"50",2004-02-19,37.9,"Sapan"
"51",2004-02-20,33.25,"Sapan"
"52",2004-02-21,20.25,"Sapan"
"53",2004-02-22,45.6,"Sapan"
"54",2004-02-23,46.85,"Sapan"
"55",2004-02-24,33,"Sapan"
"56",2004-02-25,36.3,"Sapan"
"57",2004-02-26,36.85,"Sapan"
"58",2004-02-27,32.25,"Sapan"
"59",2004-02-28,26.35,"Sapan"
"60",2004-02-29,20.4,"Sapan"
"61",2004-03-01,22.65,"Sapan"
"62",2004-03-02,27,"Sapan"
"63",2004-03-03,26.75,"Sapan"
"64",2004-03-04,70.9,"Sapan"
"65",2004-03-05,67.35,"Sapan"
"66",2004-03-06,45.9,"Sapan"
